Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1003.9, -47.29,152.612, No data,No data,0.0,00:00:00
1004.4, -72.63,153.809, No data,No data,0.0,00:00:00
1006.9, -89.54,154.829, No data,No data,0.0,00:00:00
1007.3, 13.84,155.608, No data,No data,0.0,00:00:00
1008.7, 11.40,156.299, No data,No data,0.0,00:00:00
1010.9, 79.33,156.958, No data,No data,0.0,00:00:00
1012.1, -18.99,157.692, No data,No data,0.0,00:00:00
1012.0, 45.41,158.551, No data,No data,0.0,00:00:00
1012.4, 2.73,159.587, No data,No data,0.0,00:00:00
1010.3, -87.20,160.266, No data,No data,0.0,00:00:00
1009.5, -22.51,160.918, No data,No data,0.0,00:00:00
1007.8, -107.11,161.590, No data,No data,0.0,00:00:00
1005.3, -41.17,162.630, No data,No data,0.0,00:00:00
1007.3, -17.56,163.471, No data,No data,0.0,00:00:00
1005.5, -73.09,164.405, No data,No data,0.0,00:00:00
1001.9, -55.61,165.089, No data,No data,0.0,00:00:00
1004.5, -9.63,165.916, No data,No data,0.0,00:00:00
1003.2, -54.00,166.623, No data,No data,0.0,00:00:00
1002.6, -97.77,167.389, No data,No data,0.0,00:00:00
1003.0, -96.69,168.228, No data,No data,0.0,00:00:00
1001.9, -57.86,169.133, No data,No data,0.0,00:00:00
1005.0, -100.82,170.083, No data,No data,0.0,00:00:00
1006.0, -30.12,170.934, No data,No data,0.0,00:00:00
1007.8, -67.61,171.814, No data,No data,0.0,00:00:00
1009.0, -8.56,172.669, No data,No data,0.0,00:00:00
1009.1, 1.23,173.573, No data,No data,0.0,00:00:00
1007.9, -30.93,174.400, No data,No data,0.0,00:00:00
1009.0, -47.92,175.251, No data,No data,0.0,00:00:00
1009.3, -61.68,176.086, No data,No data,0.0,00:00:00
1010.8, -24.80,176.956, No data,No data,0.0,00:00:00
1011.7, -35.97,177.645, -34.597156,-58.388598,0.0,11:36:57
1012.8, -6.34,178.528, No data,No data,0.0,00:00:00
1012.8, -31.47,179.218, -34.597156,-58.388590,0.0,11:36:58
1011.6, -38.04,180.137, No data,No data,0.0,00:00:00
1010.5, -16.50,180.863, -34.597152,-58.388590,0.0,11:36:59
1008.6, -11.57,181.413, No data,No data,0.0,00:00:00
1007.5, -25.28,182.129, -34.597152,-58.388575,0.7,11:37:00
1005.3, -63.31,182.969, No data,No data,0.0,00:00:00
1003.9, -52.73,183.804, No data,No data,0.0,00:00:00
1002.1, -36.73,184.731, No data,No data,0.0,00:00:00
